Course ID,Course Name,Course URL,Language,Category,Sub Category,Avg Rating,Enrollment,Hours Of Video,Instructor Name,Approved Date,Update Date
362632,Scrum Certification Prep +Scrum Master+ Agile Scrum Training,https://www.udemy.com/scrum-certification,en,Development,Software Engineering,4.39,"147,695",2.02,Paul Ashun,2/5/15,4/22/20
520116,The Complete WordPress Website Business Course,https://www.udemy.com/the-complete-wordpress-website-business-course,en,Development,Web Development,4.39,"62,367",21.45,Rob Percival,11/1/16,3/10/20
642102,Learn How To Code: Google's Go (golang) Programming Language,https://www.udemy.com/learn-how-to-code,en,Development,Programming Languages,4.48,"86,197",46.57,Todd McLeod,11/19/15,8/12/19
970600,REST APIs with Flask and Python,https://www.udemy.com/rest-api-flask-and-python,en,Development,Web Development,4.62,"44,058",17.08,Jose Salvatierra,11/6/16,4/7/20
903378,The Python Bible™ | Everything You Need to Program in Python,https://www.udemy.com/the-python-bible,en,Development,Programming Languages,4.61,"69,333",9.13,Ziyad Yehia,8/18/16,1/20/20
1581488,Complete C# Masterclass,https://www.udemy.com/complete-csharp-masterclass,en,Development,Programming Languages,4.47,"27,115",31.42,Denis Panjuta,4/25/18,12/17/19
1455016,Build an app with ASPNET Core and Angular from scratch,https://www.udemy.com/build-an-app-with-aspnet-core-and-angular-from-scratch,en,Development,Web Development,4.56,"38,097",28.99,Neil Cummings,12/7/17,11/30/19
980450,"Desarrollo Web Completo con HTML5, CSS3, JS AJAX PHP y MySQL",https://www.udemy.com/desarrollo-web-completo-con-html5-css3-js-php-y-mysql,es,Development,Web Development,4.6,"48,588",53.8,Juan Pablo De la torre Valdez,11/9/16,11/27/19
1352468,Master Microservices with Spring Boot and Spring Cloud,https://www.udemy.com/microservices-with-spring-boot-and-spring-cloud,en,Development,Web Development,4.39,"50,514",11.03,in28Minutes Official,9/18/17,4/25/20
246154,Web Design for Beginners: Real World Coding in HTML & CSS,https://www.udemy.com/web-design-for-beginners-real-world-coding-in-html-css,en,Development,Web Development,4.6,"34,644",9.04,Brad Schiff,9/23/14,11/13/17
1535678,Java Programming for Complete Beginners,https://www.udemy.com/java-programming-tutorial-for-beginners,en,Development,Programming Languages,4.4,"58,892",25.81,in28Minutes Official,3/5/18,4/28/20
1465244,Desenvolvimento Web Moderno com JavaScript Completo 2020,https://www.udemy.com/curso-web,pt,Development,Web Development,4.64,"66,280",85.95,Leonardo Moura Leitao,12/21/17,4/22/20
1672410,"Node.js, Express, MongoDB & More: The Complete Bootcamp 2020",https://www.udemy.com/nodejs-express-mongodb-bootcamp,en,Development,Web Development,4.72,"19,257",42.18,Jonas Schmedtmann,6/25/19,12/2/19
2361020,AWS：ゼロから実践するAmazon Web Services。手を動かしながらインフラの基礎を習得,https://www.udemy.com/aws-and-infra,ja,Development,Web Development,4.4,"8,906",11.02,山浦 清透,7/1/19,4/20/20
1501104,Advanced JavaScript Concepts,https://www.udemy.com/advanced-javascript-concepts,en,Development,Web Development,4.74,"23,366",24.62,Andrei Neagoie,2/28/19,4/27/20
364426,JavaScript: Understanding the Weird Parts,https://www.udemy.com/understand-javascript,en,Development,Web Development,4.73,"134,257",11.45,Anthony Alicea,3/13/15,8/30/15
980798,Spark and Python for Big Data with PySpark,https://www.udemy.com/spark-and-python-for-big-data-with-pyspark,en,Development,Software Engineering,4.46,"39,048",10.57,Jose Portilla,5/4/17,9/4/19
1650610,The Complete Junior to Senior Web Developer Roadmap (2020),https://www.udemy.com/the-complete-junior-to-senior-web-developer-roadmap,en,Development,Web Development,4.76,"40,349",34.75,Andrei Neagoie,5/23/18,4/27/20
405282,PHP for Beginners - Become a PHP Master - CMS Project,https://www.udemy.com/php-for-complete-beginners-includes-msql-object-oriented,en,Development,Web Development,4.41,"78,375",37.75,Edwin Diaz,2/15/15,10/30/19
951618,The Complete Android N Developer Course,https://www.udemy.com/complete-android-n-developer-course,en,Development,Mobile Apps,4.38,"136,724",31.99,Rob Percival,10/4/16,2/20/19
693188,Complete Guide to Elasticsearch,https://www.udemy.com/elasticsearch-complete-guide,en,Development,Software Engineering,4.49,"32,655",12,Bo Andersen,12/28/15,4/16/20
2373842,Complete Tensorflow 2 and Keras Deep Learning Bootcamp,https://www.udemy.com/complete-tensorflow-2-and-keras-deep-learning-bootcamp,en,Development,Data Science,4.67,"10,505",19.13,Jose Portilla,11/20/19,1/4/20
164058,The Ultimate Excel Programmer Course,https://www.udemy.com/ultimate-excel-programmer,en,Development,Programming Languages,4.47,"90,784",12.52,Daniel Strong,11/6/14,4/15/20
1217894,Spring Framework 5: Beginner to Guru,https://www.udemy.com/spring-framework-5-beginner-to-guru,en,Development,Programming Languages,4.47,"41,289",56.02,John Thompson,7/19/17,2/10/20
